0,0.01
1307,25.149,6.5
1308,25.90347,10.0
1309,25.149,20.0
1310,25.149,1.0
1311,20.1192,8.75
1312,25.149,0.34
1313,25.149
1314,22.6341,0.335
1315,25.149,31.969
1316,25.149
1317,25.149,6.5
1318,25.149,5.75
1319,25.149,0.3488
1320,25.149,30.0
1321,25.149,1.0
1322,25.149,7.899
1323,25.149
1324,25.149
1325,25.149,0.15
1326,25.149,0.45
1327,25.149,6.36
1328,25.149
1329,25.149,54.0
1330,25.149,6.55
1331,25.149,40.0
1332,25.149,42.069
1333,25.149,0.16
1334,25.149,20.0
1335,25.149,1.79
1336,25.149,3.0
1337,25.149
1338,25.149,28.25
1339,25.149,40.0
1340,25.149,6.99
1341,25.90347
1342,25.149
1343,25.149,40.0
1344,22.6341,41.99
1345,25.149,9.5
1346,25.149,3.7800000000000002
1347,25.149,2.75
1348,25.149,7.7
1349,25.149,75.0
1350,25.149,6.5
1351,25.149
1352,25.149,0.49
1353,25.149,0.35
1354,20.1192,6.9999
1355,25.149,53.0
1356,25.90347
1357,25.149,24.99
1358,25.149
1359,25.90347
1360,25.149,0.4695
1361,25.149,3.75
1362,25.149
1363,25.149,0.269
1364,25.149,33.49
1365,25.149,0.65
1366,25.149,2.9
1367,25.149,23.69
1368,22.6341,7.499
1369,25.149,1.2
1370,25.149,0.65
1371,25.149,1.4
1372,25.149
1373,25.149,0.45
1374,25.149,0.185
1375,25.149,37.0
1376,25.149,42.69
1377,25.149,13.777
1378,25.149,3.4
1379,25.149,4.49
1380,25.149,0.36
1381,25.149,5.8
1382,25.149
1383,25.149,7.5
1384,25.149
1385,25.149,0.16
1386,25.149
1387,25.149
1388,25.149
1389,50.0,51.12039111835404
1390,25.149,1.1
1391,25.149,12.0
1392,25.149,1.84
1393,25.149,12.0
1394,20.1192
1395,25.149,0.5
1396,25.149,0.64
1397,0,8.3839
1398,25.149,9.99
1399,25.149,0.194
1400,25.149,7.5
1401,25.90347,10.0
1402,25.149,37.8
1403,25.149,0.3
1404,25.90347,45.0
1405,20.1192,1.88
1406,25.149,8.5
1407,25.149,3.4986
1408,25.149,45.3
1409,25.149
1410,20.1192,9.99
1411,25.149,42.0
1412,25.149
1413,25.149,32.99
1414,25.149,4.532949216339627
1415,25.149,35.45
1416,25.149,3.3999
1417,25.149
1418,25.149,42.75
1419,25.149
1420,20.1192
1421,25.90347,78.88
1422,25.149,36.0
1423,25.149,0.7910292708424078
1424,25.149,0.13
1425,25.149,41.469
1426,25.149,0.48
1427,25.149,1.5999
1428,25.15,2.7
1429,25.149
1430,25.90347,50.0
1431,25.149
1432,25.149
1433,25.149,1.83
1434,22.6341,5.4
1435,25.149,4.0
1436,25.149,0.5
1437,25.149
1438,25.149,4.02
1439,25.149,2.0
1440,25.149,0.88
1441,25.149
1442,25.149,34.0
1443,25.149,0.77
1444,25.149,1.08
1445,25.149,0.33
1446,25.149
1447,25.90347
1448,25.149,0.38
1449,20.1192,44.9
1450,25.149,5.0
1451,25.149,0.39
1452,25.149
1453,25.149,2.19
1454,25.90347
1455,20.1192,31.0
1456,20.1192,44.0
1457,25.149
1458,25.149,0.99
1459,25.90347,119.0
1460,25.149
1461,25.149,38.9
1462,25.149,41.0
1463,25.149
1464,20.1192,35.0
1465,25.149,7.97
1466,25.149,60.0
1467,25.149
1468,25.149
1469,25.149,1.9
1470,25.149,18.0
1471,25.149,9.0
1472,25.149,4.89
1473,25.149,0.313
1474,25.149
1475,25.149
1476,25.149,4.8
1477,25.149,22.0
1478,25.149,1.84
1479,25.149,1.41
1480,25.149,43.33
1481,25.149,0.419
